Repository,Group,Artifact,Version,file,size,uploadDate
fnv2_private_release_repository,com.example.sync.sync4_0.05e3e6f21084f2fbcefc96defe47221533c88f1e,MU5T-14H213-OAC,06917-Sync4-launch-SYNC-v1.9.0-Dev-Sign-Plusone-ALM-Leftover-107-05e3e6f210,MU5T-14H213-OAC-06917-Sync4-launch-SYNC-v1.9.0-Dev-Sign-Plusone-ALM-Leftover-107-05e3e6f210.vbf,39661901,"Tue, 14 Nov 2023 02:59:23 GMT"
fnv2_private_release_repository,com.example.sync.sync4_0.05e3e6f21084f2fbcefc96defe47221533c88f1e,MU5T-14H213-OAC,06920-Sync4-launch-SYNC-v1.9.0-Prod-Sign-Plusone-ALM-Leftover-107-05e3e6f210,MU5T-14H213-OAC-06920-Sync4-launch-SYNC-v1.9.0-Prod-Sign-Plusone-ALM-Leftover-107-05e3e6f210.vbf,39661920,"Tue, 14 Nov 2023 04:13:09 GMT"
